# Constructed from biom file
#OTU ID	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
06f825b512d903b9230e1a55d87359ee	1767.0	0.0	6362.0	2493.0	0.0	3509.0	1877.0	11.0	23153.0	1530.0	0.0	6197.0	894.0	0.0	1891.0	2103.0	27.0	5803.0	2178.0	0.0	6505.0	1580.0	0.0	8156.0	1691.0	0.0	4452.0	178.0	0.0	675.0	9228.0	0.0	6063.0	545.0	0.0	2435.0	344.0	7.0	2109.0	3591.0	0.0	4432.0	1390.0	14.0	1456.0	96.0	10.0	1909.0	1520.0	9.0	10149.0	1545.0	0.0	1317.0	2050.0	0.0	17933.0	1998.0	0.0	9761.0	1677.0	0.0	7586.0	1960.0	0.0	9570.0	3899.0	0.0	12139.0	501.0	0.0	1854.0	1326.0	0.0	9539.0	953.0	16.0	13133.0	956.0	0.0	4933.0	4439.0	0.0	8293.0	1061.0	15.0	1929.0	1907.0	0.0	8086.0
394eda29c886632f514dd94b58381186	601.0	0.0	6736.0	5544.0	14.0	1841.0	2927.0	0.0	235.0	1085.0	23.0	2967.0	1492.0	10.0	271.0	2650.0	215.0	849.0	4682.0	5.0	7242.0	4160.0	5.0	6546.0	2635.0	5.0	3078.0	4241.0	0.0	2871.0	458.0	0.0	43.0	2044.0	5.0	784.0	915.0	7.0	1943.0	2971.0	13.0	7651.0	8202.0	13.0	19460.0	0.0	0.0	7.0	161.0	0.0	96.0	3067.0	0.0	1941.0	820.0	0.0	1362.0	18.0	0.0	0.0	3437.0	0.0	3298.0	55.0	0.0	25.0	128.0	12.0	49.0	242.0	0.0	60.0	142.0	0.0	11.0	1976.0	8.0	238.0	5050.0	0.0	1178.0	1893.0	0.0	768.0	2184.0	16.0	1575.0	560.0	0.0	303.0
923f521b9cf313f1f95c9367e09bbc1c	1571.0	0.0	122.0	1200.0	0.0	463.0	407.0	0.0	0.0	2446.0	0.0	309.0	3478.0	0.0	63.0	2749.0	0.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	1647.0	5.0	1031.0	6479.0	0.0	3814.0	712.0	0.0	293.0	2548.0	0.0	198.0	7208.0	0.0	220.0	958.0	26.0	258.0	578.0	0.0	0.0	14165.0	20.0	1325.0	2831.0	0.0	46.0	1756.0	0.0	0.0	971.0	0.0	82.0	6314.0	0.0	1394.0	1192.0	0.0	122.0	4130.0	0.0	770.0	2768.0	0.0	137.0	2550.0	0.0	2227.0	1275.0	0.0	213.0	527.0	0.0	0.0	2797.0	0.0	1335.0	2555.0	0.0	798.0	1652.0	0.0	233.0	2666.0	0.0	632.0
32f8fd11d2bee278d609a1d4ab767554	1128.0	0.0	0.0	2032.0	0.0	1053.0	3279.0	0.0	4.0	6359.0	0.0	302.0	1375.0	0.0	88.0	3599.0	0.0	290.0	2117.0	0.0	0.0	0.0	0.0	0.0	5207.0	0.0	716.0	7416.0	0.0	3070.0	1843.0	0.0	599.0	3719.0	0.0	239.0	5843.0	0.0	37.0	1636.0	0.0	172.0	635.0	0.0	33.0	0.0	0.0	0.0	4621.0	0.0	37.0	3873.0	0.0	0.0	440.0	0.0	291.0	0.0	0.0	0.0	5548.0	0.0	1044.0	91.0	0.0	0.0	264.0	0.0	40.0	785.0	0.0	456.0	2294.0	0.0	103.0	7086.0	0.0	136.0	708.0	0.0	333.0	799.0	0.0	261.0	3259.0	0.0	442.0	2096.0	0.0	363.0
85c44c83eddc5d3028261a1000b7d0e1	673.0	0.0	1011.0	1034.0	0.0	1577.0	309.0	5.0	5807.0	908.0	0.0	7859.0	202.0	0.0	181.0	218.0	0.0	598.0	637.0	0.0	845.0	1011.0	0.0	3152.0	417.0	0.0	368.0	62.0	0.0	184.0	4728.0	0.0	6990.0	373.0	0.0	344.0	177.0	0.0	167.0	1288.0	0.0	1615.0	676.0	0.0	804.0	5.0	0.0	113.0	371.0	0.0	2239.0	1391.0	0.0	292.0	1013.0	6.0	11255.0	223.0	0.0	600.0	576.0	0.0	1470.0	109.0	0.0	1102.0	255.0	5.0	490.0	77.0	0.0	173.0	116.0	0.0	1972.0	268.0	0.0	741.0	258.0	0.0	896.0	536.0	0.0	717.0	317.0	0.0	256.0	38.0	0.0	117.0
8674dcf0cfe35939037fa9a5b986866f	2051.0	0.0	163.0	1204.0	0.0	746.0	4835.0	0.0	46.0	325.0	0.0	291.0	302.0	0.0	43.0	1169.0	0.0	137.0	2348.0	0.0	165.0	5404.0	0.0	716.0	2097.0	0.0	334.0	2503.0	0.0	1300.0	105.0	0.0	43.0	283.0	0.0	30.0	386.0	0.0	38.0	2635.0	0.0	3851.0	547.0	0.0	522.0	0.0	0.0	0.0	1565.0	0.0	15.0	4526.0	0.0	82.0	2678.0	0.0	1007.0	0.0	0.0	0.0	306.0	0.0	66.0	0.0	0.0	0.0	52.0	0.0	0.0	270.0	0.0	199.0	0.0	0.0	0.0	1818.0	0.0	68.0	143.0	0.0	106.0	279.0	0.0	165.0	1750.0	0.0	213.0	34.0	0.0	0.0
fd496fd32dc8c08ade2e8b6c9d8ee13d	632.0	17.0	348.0	482.0	89.0	504.0	373.0	195.0	23.0	1402.0	96.0	242.0	2469.0	145.0	601.0	1492.0	593.0	210.0	201.0	32.0	3166.0	0.0	39.0	0.0	485.0	0.0	1856.0	403.0	22.0	331.0	325.0	20.0	169.0	781.0	481.0	120.0	90.0	8.0	209.0	273.0	45.0	75.0	361.0	5.0	35.0	3899.0	402.0	2390.0	173.0	28.0	99.0	525.0	16.0	499.0	408.0	24.0	73.0	1093.0	0.0	2836.0	826.0	39.0	191.0	2283.0	14.0	1969.0	501.0	0.0	999.0	421.0	20.0	1347.0	486.0	0.0	380.0	10.0	42.0	327.0	817.0	9.0	1041.0	1306.0	39.0	1167.0	202.0	0.0	52.0	1075.0	55.0	774.0
4f5efd25dacb5d639316e7291ff6ff8b	73.0	0.0	0.0	5470.0	0.0	2900.0	3819.0	0.0	127.0	292.0	0.0	184.0	536.0	0.0	189.0	1163.0	0.0	230.0	5767.0	0.0	405.0	3281.0	0.0	708.0	1415.0	0.0	329.0	1542.0	0.0	1447.0	1699.0	0.0	167.0	177.0	0.0	66.0	220.0	0.0	0.0	180.0	0.0	208.0	3156.0	0.0	318.0	0.0	0.0	0.0	0.0	0.0	0.0	872.0	0.0	163.0	700.0	0.0	1419.0	0.0	0.0	0.0	2133.0	0.0	304.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2128.0	0.0	40.0	0.0	0.0	0.0	160.0	0.0	77.0	476.0	0.0	117.0	47.0	0.0	10.0
cd9401a6bce4a63af516d06d2a843f9d	443.0	0.0	101.0	460.0	0.0	643.0	895.0	0.0	0.0	443.0	0.0	407.0	347.0	0.0	234.0	908.0	0.0	126.0	1595.0	6.0	245.0	1626.0	0.0	294.0	2299.0	0.0	813.0	0.0	0.0	0.0	0.0	0.0	0.0	234.0	0.0	376.0	813.0	0.0	1201.0	148.0	0.0	80.0	202.0	0.0	42.0	352.0	0.0	530.0	935.0	0.0	0.0	4996.0	0.0	116.0	589.0	0.0	490.0	288.0	0.0	546.0	818.0	0.0	251.0	141.0	0.0	256.0	636.0	4.0	184.0	77.0	0.0	156.0	294.0	0.0	453.0	3749.0	0.0	90.0	359.0	0.0	2468.0	301.0	0.0	638.0	3572.0	4.0	894.0	407.0	0.0	361.0
c6c3ab4e828fb40d6e05967b7aac9338	0.0	1325.0	0.0	0.0	2108.0	0.0	0.0	1036.0	0.0	0.0	823.0	0.0	3.0	555.0	0.0	0.0	647.0	0.0	0.0	1390.0	0.0	0.0	4477.0	9.0	0.0	782.0	5.0	0.0	1263.0	13.0	0.0	837.0	0.0	0.0	1422.0	0.0	0.0	603.0	0.0	0.0	1124.0	0.0	9.0	1771.0	0.0	0.0	2205.0	20.0	0.0	1402.0	0.0	0.0	1475.0	0.0	0.0	1244.0	0.0	0.0	2819.0	0.0	0.0	1152.0	0.0	0.0	808.0	0.0	0.0	512.0	0.0	0.0	452.0	0.0	131.0	720.0	0.0	0.0	3062.0	0.0	0.0	979.0	0.0	0.0	934.0	0.0	0.0	999.0	0.0	0.0	307.0	3.0
